2024-05-06 14:26:08,987 INFO    StreamThr :539341 [internal.py:wandb_internal():86] W&B internal server running at pid: 539341, started at: 2024-05-06 14:26:08.987090
2024-05-06 14:26:08,989 DEBUG   HandlerThread:539341 [handler.py:handle_request():146] handle_request: status
2024-05-06 14:26:08,995 INFO    WriterThread:539341 [datastore.py:open_for_write():87] open: /home/eiden/eiden/octc-inpainting/src/AOTGAN/wandb/run-20240506_142608-l3n6jpo6/run-l3n6jpo6.wandb
2024-05-06 14:26:08,996 DEBUG   SenderThread:539341 [sender.py:send():378] send: header
2024-05-06 14:26:09,006 DEBUG   SenderThread:539341 [sender.py:send():378] send: run
2024-05-06 14:26:09,744 INFO    SenderThread:539341 [dir_watcher.py:__init__():211] watching files in: /home/eiden/eiden/octc-inpainting/src/AOTGAN/wandb/run-20240506_142608-l3n6jpo6/files
2024-05-06 14:26:09,744 INFO    SenderThread:539341 [sender.py:_start_run_threads():1099] run started: l3n6jpo6 with start time 1714973168.987109
2024-05-06 14:26:09,749 DEBUG   HandlerThread:539341 [handler.py:handle_request():146] handle_request: check_version
2024-05-06 14:26:09,749 DEBUG   SenderThread:539341 [sender.py:send_request():405] send_request: check_version
2024-05-06 14:26:10,778 DEBUG   HandlerThread:539341 [handler.py:handle_request():146] handle_request: run_start
2024-05-06 14:26:10,819 DEBUG   HandlerThread:539341 [system_info.py:__init__():26] System info init
2024-05-06 14:26:10,819 DEBUG   HandlerThread:539341 [system_info.py:__init__():41] System info init done
2024-05-06 14:26:10,819 INFO    HandlerThread:539341 [system_monitor.py:start():194] Starting system monitor
2024-05-06 14:26:10,819 INFO    SystemMonitor:539341 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-06 14:26:10,819 INFO    HandlerThread:539341 [system_monitor.py:probe():214] Collecting system info
2024-05-06 14:26:10,819 INFO    SystemMonitor:539341 [interfaces.py:start():190] Started cpu monitoring
2024-05-06 14:26:10,820 INFO    SystemMonitor:539341 [interfaces.py:start():190] Started disk monitoring
2024-05-06 14:26:10,820 INFO    SystemMonitor:539341 [interfaces.py:start():190] Started gpu monitoring
2024-05-06 14:26:10,820 INFO    SystemMonitor:539341 [interfaces.py:start():190] Started memory monitoring
2024-05-06 14:26:10,820 INFO    SystemMonitor:539341 [interfaces.py:start():190] Started network monitoring
2024-05-06 14:26:10,843 DEBUG   HandlerThread:539341 [system_info.py:probe():150] Probing system
2024-05-06 14:26:10,847 DEBUG   HandlerThread:539341 [system_info.py:_probe_git():135] Probing git
2024-05-06 14:26:10,856 DEBUG   HandlerThread:539341 [system_info.py:_probe_git():143] Probing git done
2024-05-06 14:26:10,856 DEBUG   HandlerThread:539341 [system_info.py:probe():198] Probing system done
